Site,StationCode,DateSampled,ActivityType,ComponentShort,ComponentLong,Result,Remark,Units,MDL,PQL,MRL,Dilution,DateReceived,DateAnalyzed,TestComments,AnalysisMethod,Lab ID,Lab Accreditation Authority,Laboratory,RQ#,EnteredBy,EnteredOn,CheckedBy,CheckedOn
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-PO4-F,O-Phosphate-P,0.004,U,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 12:11,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-NO2-F,Nitrite-N,0.002,U,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 20:30,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-NO3-F,Nitrate-N,0.007,I,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 20:30,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-NO2NO3-F,NO2NO3-N,0.007,I,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 10:50,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,3,BQ,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-DOC,Organic Carbon,2.2,,mg C/L,1,2,,,1/23/2019 10:15,1/24/2019 21:55,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-TSS,TSS,14,,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-NH3-F,Ammonia-N,0.005,I,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 10:56,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.18,I,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 12:02,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-TKN,Kjeldahl Nitrogen,0.25,I,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 12:21,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.1,1/22/2019 9:34,Sample,W-S-A-TP,Total-P,0.03,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:34,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-PO4-F,O-Phosphate-P,0.004,U,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 12:11,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-NO2-F,Nitrite-N,0.002,U,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 20:31,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-NO3-F,Nitrate-N,0.13,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 20:31,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-NO2NO3-F,NO2NO3-N,0.13,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 10:55,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,2,UQ,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-DOC,Organic Carbon,2.2,,mg C/L,1,2,,,1/23/2019 10:15,1/24/2019 22:08,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-TSS,TSS,13,A,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-NH3-F,Ammonia-N,0.003,I,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 10:58,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.23,I,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 12:03,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
